YEAR,STRUCTURE,RC,MOKU,TETSU,LIGHT_TETSU,BLK,面積（㎡）,TotalArea,BUILDING_VALUE
7,木造,0,1,0,0,0,145,115,5031030.310363604
41,木造,0,1,0,0,0,90,110,-4248097.283562223
65,木造,0,1,0,0,0,35,65,-1612524.9561376972
0,木造,0,1,0,0,0,140,105,14437364.631859155
0,木造,0,1,0,0,0,145,100,13241235.101942042
1,軽量鉄骨造,0,0,1,1,0,220,105,30112977.19160264
1,軽量鉄骨造,0,0,1,1,0,210,100,32480567.487446308
0,木造,0,1,0,0,0,165,120,18610018.754915603
44,木造,0,1,0,0,0,75,95,-1915965.8781535488
0,木造,0,1,0,0,0,150,105,11150462.822917296
20,軽量鉄骨造,0,0,1,1,0,100,110,3305039.6273216773
1,木造,0,1,0,0,0,210,105,23749900.17544921
1,木造,0,1,0,0,0,190,110,20628858.37013733
12,鉄骨造,0,0,1,0,0,1300,600,49240315.808578864
1,木造,0,1,0,0,0,180,125,24458660.536027588
1,木造,0,1,0,0,0,180,125,27458660.536027588
0,木造,0,1,0,0,0,195,120,20502985.66156452
50,鉄骨造,0,0,1,0,0,230,240,-7927315.627079679
33,木造,0,1,0,0,0,410,145,-4002625.688184403
25,鉄骨造,0,0,1,0,0,340,210,12181741.18216468
-1,木造,0,1,0,0,0,200,110,19041502.81323734
9,木造,0,1,0,0,0,220,130,16329917.115372982
24,木造,0,1,0,0,0,290,110,3046530.340613468
3,軽量鉄骨造,0,0,1,1,0,165,130,25345982.81807732
0,木造,0,1,0,0,0,175,110,18130906.285921715
0,木造,0,1,0,0,0,195,125,24928332.0225059
17,木造,0,1,0,0,0,195,120,6773882.267529797
0,木造,0,1,0,0,0,260,125,22640425.91808337
0,木造,0,1,0,0,0,165,120,25371979.55109202
0,木造,0,1,0,0,0,160,110,28412099.945550244
1,木造,0,1,0,0,0,170,100,27126020.9329058
53,木造,0,1,0,0,0,360,95,-6985588.964849658
0,木造,0,1,0,0,0,170,105,10224647.589085847
0,木造,0,1,0,0,0,130,105,14257353.74190816
0,木造,0,1,0,0,0,135,105,16181565.732954202
0,木造,0,1,0,0,0,160,95,15552347.994434023
0,木造,0,1,0,0,0,170,95,11363947.203904249
51,木造,0,1,0,0,0,175,50,-1438840.3210518882
43,木造,0,1,0,0,0,510,140,7712950.269223791
20,軽量鉄骨造,0,0,1,1,0,400,220,20732015.01545624
47,木造,0,1,0,0,0,760,95,10531177.929699317
-1,木造,0,1,0,0,0,175,135,38891644.98759756
0,木造,0,1,0,0,0,250,130,24536632.585153367
1,軽量鉄骨造,0,0,1,1,0,175,105,28652943.3117551
0,軽量鉄骨造,0,0,1,1,0,170,105,37912396.39421623
2,軽量鉄骨造,0,0,1,1,0,170,115,31138665.37600581
4,木造,0,1,0,0,0,200,115,21526166.132252403
0,軽量鉄骨造,0,0,1,1,0,540,420,127571492.52828364
34,鉄骨造,0,0,1,0,0,270,140,-6762550.668521991
1,木造,0,1,0,0,0,200,120,22227297.477161355
15,木造,0,1,0,0,0,300,150,15628592.17133523
56,木造,0,1,0,0,0,440,75,-18320067.75969508
1,木造,0,1,0,0,0,200,125,25281747.232137457
5,木造,0,1,0,0,0,260,120,7879512.775525842
29,木造,0,1,0,0,0,150,105,4066716.0747776646
38,木造,0,1,0,0,0,175,145,3801636.517635672
63,木造,0,1,0,0,0,115,85,-1992782.4833121584
50,鉄骨造,0,0,1,0,0,240,210,-3503080.6461370923
42,木造,0,1,0,0,0,380,140,-6653582.18888015
44,木造,0,1,0,0,0,210,95,-1250037.509831206
44,軽量鉄骨造,0,0,1,1,0,165,90,332145.1085970113
42,軽量鉄骨造,0,0,1,1,0,165,90,-2210359.9733801195
22,軽量鉄骨造,0,0,1,1,0,250,135,3072145.9253433365
0,木造,0,1,0,0,0,260,130,26072712.20279509
0,木造,0,1,0,0,0,195,115,19631040.89781596
48,木造,0,1,0,0,0,150,80,-2342318.652066065
0,木造,0,1,0,0,0,200,105,19604880.31137193
43,軽量鉄骨造,0,0,1,1,0,175,100,1745965.6764877895
0,木造,0,1,0,0,0,170,105,23120398.088208605
24,木造,0,1,0,0,0,150,110,8150112.831992255
46,木造,0,1,0,0,0,260,95,-2799643.051606268
35,木造,0,1,0,0,0,105,75,-151117.7324702039
1,木造,0,1,0,0,0,125,110,16425086.212112045
10,鉄骨造,0,0,1,0,0,550,175,31389512.372194327
1,木造,0,1,0,0,0,270,85,18546857.039143324
27,木造,0,1,0,0,0,85,60,-1507269.0422893097
41,木造,0,1,0,0,0,220,145,1422001.8149918327
32,木造,0,1,0,0,0,230,125,2798930.727811725
31,木造,0,1,0,0,0,230,115,434896.78746445663
2,木造,0,1,0,0,0,250,150,26877760.30007865
28,木造,0,1,0,0,0,135,160,11507220.64250711
42,木造,0,1,0,0,0,100,90,2641478.6133462405
42,木造,0,1,0,0,0,100,80,-479284.8932179804
49,木造,0,1,0,0,0,95,65,-1676175.5097102062
44,木造,0,1,0,0,0,95,80,-2608563.131465908
34,木造,0,1,0,0,0,110,80,-223208.3005626472
25,木造,0,1,0,0,0,360,165,8467747.595135823
21,軽量鉄骨造,0,0,1,1,0,135,190,11762777.542501058
0,木造,0,1,0,0,0,100,100,26542682.557928488
29,木造,0,1,0,0,0,125,100,6593488.716800774
43,木造,0,1,0,0,0,240,125,2938161.0502752746
34,木造,0,1,0,0,0,240,130,-4163645.713594289
1,木造,0,1,0,0,0,280,115,19753980.761086576
34,木造,0,1,0,0,0,270,110,-5009577.106903018
23,軽量鉄骨造,0,0,1,1,0,840,430,31218210.41805312
1,木造,0,1,0,0,0,280,110,18115577.873232905
38,木造,0,1,0,0,0,550,130,2161434.448544981
0,木造,0,1,0,0,0,230,115,16963380.11978946
0,木造,0,1,0,0,0,230,125,16849670.276483756
20,木造,0,1,0,0,0,1700,890,56374499.36475286
1,鉄骨造,0,0,1,0,0,210,120,16225151.067820195
20,木造,0,1,0,0,0,120,90,5587374.916812874
34,ＲＣ,0,0,0,0,0,1500,1100,69026892.12898542
2,木造,0,1,0,0,0,200,120,15377058.503236735
17,木造,0,1,0,0,0,900,360,31627787.524956137
1,木造,0,1,0,0,0,200,115,8623570.693931878
1,木造,0,1,0,0,0,180,120,30100241.87791155
29,木造,0,1,0,0,0,250,200,2856676.144957348
1,木造,0,1,0,0,0,195,110,18039708.0888136
44,軽量鉄骨造,0,0,1,1,0,195,130,6566866.386351261
47,木造,0,1,0,0,0,200,70,-2562059.410732651
42,軽量鉄骨造,0,0,1,1,0,390,130,-3498078.52864662
0,木造,0,1,0,0,0,260,105,16464785.0444673
30,軽量鉄骨造,0,0,1,1,0,500,175,15702855.587149858
0,木造,0,1,0,0,0,200,120,17899727.75122512
0,木造,0,1,0,0,0,220,110,16569814.265835805
56,木造,0,1,0,0,0,270,90,-861609.8977554599
46,木造,0,1,0,0,0,100,90,1482068.4856918142
37,鉄骨造,0,0,1,0,0,220,240,1728005.323976043
46,木造,0,1,0,0,0,95,105,-2009843.3057051245
0,軽量鉄骨造,0,0,1,1,0,140,105,25815028.132373404
31,鉄骨造,0,0,1,0,0,170,175,1256857.6441406012
15,木造,0,1,0,0,0,115,85,6961824.671788977
63,鉄骨造,0,0,1,0,0,75,90,-1963095.1660717528
53,鉄骨造,0,0,1,0,0,1000,670,644697.1988626048
30,軽量鉄骨造,0,0,1,1,0,125,100,-760864.2386109261
2,木造,0,1,0,0,0,380,165,13038619.396212718
16,軽量鉄骨造,0,0,1,1,0,310,210,21980660.657027043
34,鉄骨造,0,0,1,0,0,620,260,-6292289.914695384
20,木造,0,1,0,0,0,790,220,23597523.141145863
26,鉄骨造,0,0,1,0,0,810,400,23829833.625748686
18,木造,0,1,0,0,0,790,220,12015297.356161898
46,木造,0,1,0,0,0,175,75,784240.8292496018
18,木造,0,1,0,0,0,440,140,10571632.887652006
44,木造,0,1,0,0,0,175,135,6572780.264988808
5,鉄骨造,0,0,1,0,0,860,710,108974598.18097484
49,木造,0,1,0,0,0,90,85,-7515306.431121061
29,鉄骨造,0,0,1,0,0,200,200,4546615.040232319
0,軽量鉄骨造,0,0,1,1,0,210,110,46229971.565127954
50,木造,0,1,0,0,0,140,120,-9768.286042712629
38,木造,0,1,0,0,0,175,115,4620182.709177811
-1,軽量鉄骨造,0,0,1,1,0,320,160,93800438.01802891
42,ＲＣ,0,0,0,0,0,570,620,44930210.539052576
40,ＳＲＣ,0,0,0,0,0,570,620,24678933.994797025
49,ＲＣ,0,0,0,0,0,120,420,-3011785.346965939
51,木造,0,1,0,0,0,65,65,-1473895.8799685398
49,木造,0,1,0,0,0,110,140,-1073731.0182104183
42,鉄骨造,0,0,1,0,0,340,750,-5560324.278540745
36,ＲＣ,0,0,0,0,0,760,1100,51298333.83749773
-1,軽量鉄骨造,0,0,1,1,0,165,130,49472554.082435206
-1,軽量鉄骨造,0,0,1,1,0,180,110,42844551.999516
36,木造,0,1,0,0,0,1100,620,41476737.85467966
0,木造,0,1,0,0,0,220,95,11442688.607901264
0,木造,0,1,0,0,0,180,110,17567330.14701434
0,木造,0,1,0,0,0,100,90,17201585.092867084
17,鉄骨造,0,0,1,0,0,260,135,6936056.627745176
49,木造,0,1,0,0,0,180,70,-1158122.088450601
2,鉄骨造,0,0,1,0,0,1500,950,38308155.36330087
0,木造,0,1,0,0,0,170,105,12605935.023292396
16,木造,0,1,0,0,0,210,125,8024714.138786375
1,木造,0,1,0,0,0,165,105,15172210.357553393
0,木造,0,1,0,0,0,200,105,15540262.56881844
33,軽量鉄骨造,0,0,1,1,0,760,360,15107038.538326578
46,木造,0,1,0,0,0,75,120,104967.02764837584
37,鉄骨造,0,0,1,0,0,580,460,3800175.44921048
49,木造,0,1,0,0,0,290,115,-3495003.932482304
30,木造,0,1,0,0,0,190,110,1024136.3663863512
43,ＲＣ,0,0,0,0,0,640,970,546768878.9400448
27,木造,0,1,0,0,0,160,105,1265711.7389638417
42,木造,0,1,0,0,0,90,95,2158062.798717406
51,木造,0,1,0,0,0,145,130,-2828739.215923528
35,鉄骨造,0,0,1,0,0,135,220,974595.1963216164
1,木造,0,1,0,0,0,220,115,13822041.203195538
1,木造,0,1,0,0,0,230,110,19534152.07614899
53,木造,0,1,0,0,0,230,80,2996145.5623449693
0,木造,0,1,0,0,0,210,130,20073475.769859035
0,木造,0,1,0,0,0,240,100,13718848.085183617
19,木造,0,1,0,0,0,360,55,-5969399.23770343
0,木造,0,1,0,0,0,250,115,18838285.74021417
0,木造,0,1,0,0,0,250,120,20816852.199165106
42,木造,0,1,0,0,0,170,105,-3135057.1722427253
0,木造,0,1,0,0,0,270,120,20272697.682860427
66,木造,0,1,0,0,0,310,140,-5460060.1972291125
56,木造,0,1,0,0,0,130,75,-1079791.31627241
0,木造,0,1,0,0,0,210,105,23316862.54461855
8,木造,0,1,0,0,0,220,125,11054274.305765623
53,木造,0,1,0,0,0,130,70,-1052243.934902293
52,軽量鉄骨造,0,0,1,1,0,400,180,-2999292.153185311
50,鉄骨造,0,0,1,0,0,190,165,-85259.8463306916
57,木造,0,1,0,0,0,195,110,1053505.959223183
58,木造,0,1,0,0,0,165,45,-2456713.3522899146
56,木造,0,1,0,0,0,120,110,874172.6662230021
48,木造,0,1,0,0,0,145,65,-261694.8998729505
16,軽量鉄骨造,0,0,1,1,0,430,155,16752857.200475931
21,鉄骨造,0,0,1,0,0,400,230,13502789.037449332
0,木造,0,1,0,0,0,200,125,23894843.406538
0,木造,0,1,0,0,0,240,135,16448327.18252768
34,木造,0,1,0,0,0,200,120,-1749047.129287918
43,鉄骨造,0,0,1,0,0,480,175,-3633795.147921834
42,鉄骨造,0,0,1,0,0,770,155,-5878428.822070301
42,鉄骨造,0,0,1,0,0,290,300,-1069284.2882207036
