YEAR,STRUCTURE,RC,MOKU,TETSU,LIGHT_TETSU,BLK,面積（㎡）,TotalArea,BUILDING_VALUE,PRED_BUILDING_VALUE,DIFF_RATE
7,木造,0,1,0,0,0,145,115,5031030.310363604,7495017.663870458,0.48975800213948145
41,木造,0,1,0,0,0,90,110,-4248097.283562223,-2593280.092346772,-0.3895431485570433
65,木造,0,1,0,0,0,35,65,-1612524.9561376972,1240731.6883457373,-1.76943409999528
0,木造,0,1,0,0,0,140,105,14437364.631859155,15021184.098831443,0.04043809115161948
0,木造,0,1,0,0,0,145,100,13241235.101942042,14499776.2734566,0.09504711319036788
1,軽量鉄骨造,0,0,1,1,0,220,105,30112977.19160264,29823554.304469228,-0.009611234561494007
1,軽量鉄骨造,0,0,1,1,0,210,100,32480567.487446308,32602388.258454684,0.0037505739718205226
0,木造,0,1,0,0,0,165,120,18610018.754915603,19380421.492791336,0.041397203733190294
44,木造,0,1,0,0,0,75,95,-1915965.8781535488,-1142531.8815717904,-0.4036783772616717
0,木造,0,1,0,0,0,150,105,11150462.822917296,14535305.699268607,0.3035607517021195
20,軽量鉄骨造,0,0,1,1,0,100,110,3305039.6273216773,3666672.9961703867,0.10941876940270401
1,木造,0,1,0,0,0,210,105,23749900.17544921,13775115.932485832,-0.41999268078080304
1,木造,0,1,0,0,0,190,110,20628858.37013733,18577326.710135333,-0.09944959741309908
1,木造,0,1,0,0,0,180,125,24458660.536027588,22914758.2756046,-0.06312292769053411
1,木造,0,1,0,0,0,180,125,27458660.536027588,22914758.2756046,-0.16548157017568602
0,木造,0,1,0,0,0,195,120,20502985.66156452,20394210.223622855,-0.005305346242600179
50,鉄骨造,0,0,1,0,0,230,240,-7927315.627079679,-5285797.1847459925,-0.3332172662975938
33,木造,0,1,0,0,0,410,145,-4002625.688184403,2044094.3985291864,-1.5106883725258835
25,鉄骨造,0,0,1,0,0,340,210,12181741.18216468,4081322.0904914658,-0.6649639793310549
-1,木造,0,1,0,0,0,200,110,19041502.81323734,25019558.97290835,0.3139487580526032
9,木造,0,1,0,0,0,220,130,16329917.115372982,10156985.126982205,-0.3780136754386573
24,木造,0,1,0,0,0,290,110,3046530.340613468,2557939.790348271,-0.16037606576628138
3,軽量鉄骨造,0,0,1,1,0,165,130,25345982.81807732,25760984.243628435,0.016373459594359395
0,木造,0,1,0,0,0,175,110,18130906.285921715,20597424.83992768,0.1360394519231048
0,木造,0,1,0,0,0,195,125,24928332.0225059,22344603.501393393,-0.10364626557363953
17,木造,0,1,0,0,0,195,120,6773882.267529797,6441689.050383489,-0.04904029979066165
0,木造,0,1,0,0,0,260,125,22640425.91808337,19283927.275611613,-0.14825245137242993
