大字町丁目名,緯度,経度
あけち,35.432437,137.094497
あじさいヶ丘,35.459904,137.0062183
あずら,35.28264933,136.8234423
いろは町,35.481293,136.918074
えびす町,35.495787,137.505988
かやの木町,35.486456,137.500888
さくらヶ丘,35.51975267,136.8974003
せんい,35.2884715,136.8241423
つつじが丘,35.4095305,136.9322086
のぞみケ丘,35.515089,136.925538
みずきケ丘,35.39653125,137.0548622
みやまち,35.3924595,136.7735225
もみじが丘,35.53051633,136.8803307
コモンヒルズ北山,35.461176,136.859121
テクノプラザ,35.425417,136.8898118
一ツ山町,35.479331,136.916334
一之宮町,36.052398,137.201261
一宮,35.324129,136.80554
一日市場,35.4216444,136.7143784
一日市場北町,35.425375,136.718915
一本木町,35.48154,136.913338
一本松,35.4348905,136.69373
一松道,35.409142,136.768437
一番町,35.418021,136.761924
一色,35.262182,136.55315
一色町,35.35177557,137.1834683
七五三,35.451425,136.654911
七崎,35.423939,136.636971
七日町,36.14881133,137.2560097
七軒町,35.426134,136.762546
万代町,35.445792,136.770522
万力町,35.427828,136.766455
万年町,35.424879,136.748337
万石,35.36202867,136.6514257
三の倉町中洞,35.308669,137.084298
三の倉町大美山,35.310453,137.097957
三の倉町猪場,35.311812,137.089326
三の倉町縄手,35.309441,137.081493
三の倉町西洞,35.311055,137.077001
三ツ井,35.27500175,136.8356108
三ツ又町,35.40945,136.742528
三ツ渕,35.724174,137.185862
三丹町,35.32063,136.801823
三井北町,35.39522833,136.838069
三井山町,35.387365,136.845688
三井東町,35.39245025,136.845153
三井町,35.39090933,136.8380493
三倉,35.51911,136.51248
三原,35.780814,137.243649
三和町川浦,35.528043,137.051121
三和町廿屋,35.534098,137.026606
三塚町,35.367384,136.630468
三宅,35.39116544,136.7951081
三川,35.567754,137.220877
三本木,35.3579965,136.6526868
三条,35.306926,136.761179
三橋,35.44978483,136.6764335
三橋町,35.422053,136.746588
三橋鶴舞,35.448354,136.674655
三歳町,35.410107,136.7405293
三津屋町,35.3913326,136.615577
三田洞,35.471909,136.78777
三田洞東,35.4752756,136.7969612
三番町,35.418131,136.760816
三神町,35.314809,136.550057
三福寺町,36.15624,137.268633
三笠町,35.37561889,136.9327986
三輪,35.4956825,136.716237
三輪ぷりんとぴあ,35.499675,136.826985
三輪宮前,35.501786,136.84288
三輪宮西,35.502995,136.840716
三郷町佐々良木,35.402753,137.35691
三郷町椋実,35.3812,137.352993
三郷町野井,35.41487,137.385604
上ミ野,35.477162,136.581281
上一之町,36.141835,137.261385
上三之町,36.14169,137.259514
上中屋町,35.3782645,136.8515032
上中町一色,35.299808,136.712707
上中町中,35.30045,136.701487
上中町千束,35.30191,136.688662
上中町午北,35.292165,136.687985
上中町沖,35.295158,136.696928
上中町長間,35.304908,136.700822
上之保,35.644102,137.063817
上之郷,35.369569,136.8807805
上二之町,36.14174,137.260313
上佐見,35.676946,137.287078
上保,35.466936,136.68206
上切町,36.170718,137.227648
上利町,35.481117,136.920654
上加納山,35.422347,136.770281
上南方,35.502325,136.584098
上印食,35.39402556,136.787482
上吉田,35.531957,137.151455
上土居,35.4575852,136.7635324
上城田寺中,35.471363,136.744595
上城田寺南,35.46684,136.742313
上城田寺東,35.46939,136.749124
上城田寺西,35.471669,136.740995
上大久和町,35.433519,136.768888
上大野,35.512842,136.98286
上太田町,35.424544,136.762969
上宝町下佐谷,36.303608,137.477941
上宝町中山,36.300839,137.388182
上宝町双六,36.312256,137.390427
上宝町吉野,36.288642,137.343664
上宝町在家,36.269763,137.36885
上宝町宮原,36.281683,137.375798
上宝町岩井戸,36.281904,137.390705
上宝町新田,36.272786,137.382952
上宝町本郷,36.276699,137.35801
上宝町苧生茂,36.241638,137.444278
上宝町荒原,36.267369,137.273955
上宝町葛山,36.260936,137.438033
上宝町蔵柱,36.267293,137.321754
上宝町見座,36.29242,137.38491
上宝町金木戸,36.345715,137.498564
上宝町長倉,36.272266,137.416818
上宝町鼠餅,36.244603,137.395932
上尻毛八幡,35.443482,136.706277
上尻毛日吉,35.443792,136.7106
上屋,35.31193,136.5984455
上山町,35.340579,137.135738
上岡島,35.481168,136.56686
上岡本町,36.13829911,137.2361766
上川原町,36.135509,137.257198
上川手,35.403405,136.775329
上川辺,35.52872,137.077412
上平町,35.3593736,137.2562362
上恵土,35.438972,137.07683
上戸町,35.383104,136.8485201
上新町,35.402522,136.7649665
上方,35.312519,136.53566
上本町,35.367356,136.762015
上材木町,35.437042,136.77321
上東野,35.481705,136.561556
上柳川町,35.366813,136.759331
上河和,35.601128,136.957925
上牧野,35.454625,137.080697
上田,35.453722,136.58307
上町,35.33654575,137.1357393
上白金,35.481719,136.858206
上真桑,35.441836,136.671705
上矢作町,35.338911,137.534019
上矢作町下,35.270958,137.478992
上矢作町小田子,35.272271,137.507365
上矢作町漆原,35.297059,137.470696
上石津町一之瀬,35.305252,136.493683
上石津町三ツ里,35.276962,136.445792
上石津町上,35.246264,136.441328
上石津町上原,35.278336,136.499258
上石津町上多良,35.268443,136.463689
上石津町上鍛治屋,35.303741,136.462999
上石津町下多良,35.29696,136.479091
上石津町下山,35.248245,136.493961
上石津町乙坂,35.336946,136.52467
上石津町前ケ瀬,35.266306,136.484913
上石津町堂之上,35.252595,136.448292
上石津町奥,35.297366,136.443949
上石津町宮,35.284141,136.461787
上石津町打上,35.239415,136.468986
上石津町時山,35.259291,136.411368
上石津町牧田,35.332916,136.487191
上石津町祢宜上,35.285656,136.448114
上石津町細野,35.230709,136.440831
上石津町西山,35.263754,136.443374
上石津町谷畑,35.303769,136.455874
上祖父江,35.276897,136.71822
上竹屋町,35.431243,136.766212
上竹町,35.427085,136.763804
上笠,35.323306,136.590931
上芥見,35.460686,136.841803
上茶屋町,35.434971,136.770836
上西郷,35.4775416,136.6922251
上野,35.56234633,136.9561727
上野町,35.44011089,137.1829476
上面,35.36002525,136.6455172
上願,35.545958,136.730274
上飯田,35.481848,137.091486
上高屋,35.474205,136.657494
上麻生,35.567428,137.128411
下一之町,36.144894,137.260031
下三之町,36.14463,137.258257
下中屋町,35.37950875,136.834421
下中町加賀野井,35.292614,136.718184
下中町城屋敷,35.288236,136.706963
下中町市之枝,35.28767871,136.6915149
下中町石田,35.278876,136.698375
下之保,35.5593,136.982536
下之切町,36.149905,137.204482
下二之町,36.144788,137.259128
下佐見,35.657054,137.237075
下切,35.401694,137.057969
下切町,35.456917,136.8990599
下切谷迫間入会,35.399502,137.046815
下印食,35.3908628,136.769793
下吉田,35.512628,137.106413
下土居,35.453756,136.7537828
下大桑町,35.434329,136.764683
下大榑,35.273789,136.650513
下大榑新田,35.27422,136.638448
下太田町,35.423365,136.762438
下奈良,35.388673,136.7099628
下尻毛,35.435329,136.715306
下岡島,35.479365,136.571647
下岡本町,36.151665,137.2409
下川手,35.395525,136.76985
下川田町,35.2885576,136.808707
下川辺,35.474883,137.056307
下恵土,35.422995,137.0539707
下新町,35.401568,136.761728
下有知,35.510746,136.920413
下本町,35.365545,136.76161
下東野,35.442852,136.582876
下林町,36.152546,137.220681
下柳川町,35.365915,136.758484
下沖町,35.364179,137.240128
下沢町,35.3255545,137.150423
下河和,35.588358,136.947254
下沼町,35.31278025,136.814795
下田,35.2948655,136.814444
下白金,35.473426,136.852028
下真桑,35.438098,136.659721
下石町,35.321951,137.186303
下石阿庄町,35.320331,137.187207
下石陶史台,35.326708,137.2085318
下福島,35.424349,136.64899
下竹町,35.425886,136.76345
下笠,35.279825,136.583791
下米田町今,35.458207,137.064021
下米田町信友,35.4658,137.07907
下米田町則光,35.463687,137.068284
下米田町小山,35.452459,137.056008
下米田町山本,35.473176,137.078551
下米田町東栃井,35.475752,137.066655
下米田町為岡,35.473022,137.071341
下米田町西脇,35.466424,137.059153
下茶屋町,35.433817,136.770747
下西郷,35.4562894,136.7069876
下野,35.586539,137.467015
下飯田,35.476147,137.083241
下鵜飼,35.46097067,136.7152133
下麻生,35.534579,137.095769
不動町,35.428743,136.75744
世保,35.48515,136.838447
世保北,35.48417,136.834552
世保南,35.481776,136.83764
世保東,35.485018,136.836719
世保西,35.482488,136.833699
世安町,35.34955275,136.6147843
両郷町,35.3130136,136.819216
中,35.41356033,136.7406637
中ノ江,35.365326,136.6438347
中一色町,35.491373,137.510108
中之保,35.578285,137.045413
中切,35.416892,137.157624
中切町,36.175546,137.220419
中大桑町,35.434791,136.766652
中央,35.5373429,136.9035891
中宮,35.388273,136.650612
中富町,35.444044,137.0271467
中屋東,35.488683,136.840608
中屋西,35.489975,136.836413
中山町,36.153485,137.23495
中島通,35.320923,136.8102842
中川,35.612142,137.248212
中川原,35.4442306,136.8014742
中川町,35.40091067,136.7885972
中川辺,35.492355,137.06337
中恵土,35.431842,137.065006
中新町,35.4018835,136.763888
中曽根町,35.35675,136.579918
中洞,35.560297,136.808753
中津川,35.455883,137.544713
中洲町,35.401306,136.764498
中町,35.32169275,136.8381738
中福野町,35.487811,136.90432
中竹屋町,35.430156,136.765538
中西郷,35.46866638,136.6962813
中道北,35.417616,136.774592
中部台,35.46201256,137.0198269
中郷,35.298877,136.643324
中郷新田,35.289589,136.636319
中野,35.431749,136.936091
中野方町,35.520461,137.313362
中野町,35.3812942,136.6086638
中須,35.333244,136.65426
中鶉,35.38191786,136.732743
中麻生,35.53413,137.110758
串原,35.261422,137.422895
丸の内,35.3616415,136.6135555
丹生川町三之瀬,36.206936,137.302844
丹生川町下保,36.186595,137.288271
丹生川町久手,36.175573,137.502201
丹生川町北方,36.175104,137.319752
丹生川町坊方,36.168462,137.326686
丹生川町塩屋,36.171649,137.440507
丹生川町大沼,36.20347,137.327077
丹生川町大萱,36.190602,137.338881
丹生川町大谷,36.164196,137.369354
丹生川町小野,36.166115,137.396784
丹生川町山口,36.158882,137.344272
丹生川町岩井谷,36.136323,137.517736
丹生川町折敷地,36.224862,137.370367
丹生川町新張,36.171844,137.279602
丹生川町旗鉾,36.194246,137.468402
丹生川町日影,36.16892,137.413702
丹生川町日面,36.187158,137.428221
丹生川町曽手,36.181819,137.446916
丹生川町板殿,36.186455,137.407506
丹生川町柏原,36.20891,137.288929
丹生川町根方,36.186039,137.391821
丹生川町桐山,36.185946,137.311106
丹生川町森部,36.229587,137.315233
丹生川町池之俣,36.156067,137.503005
丹生川町法力,36.182745,137.355349
丹生川町瓜田,36.184909,137.374313
丹生川町町方,36.164199,137.30555
丹生川町白井,36.176598,137.393471
丹生川町細越,36.178115,137.295421
丹生川町芦谷,36.179508,137.403263
丹生川町駄吉,36.159213,137.43021
丹羽,35.321106,136.821144
丹陽町三ツ井,35.277716,136.842318
丹陽町九日市場,35.266418,136.834068
丹陽町五日市場,35.254886,136.83908
丹陽町外崎,35.27923,136.827716
丹陽町多加木,35.282269,136.809461
丹陽町森本,35.291151,136.808853
丹陽町重吉,35.284057,136.841898
久々利,35.403872,137.110827
久々利柿下入会,35.393631,137.131297
久々野町久々野,36.059069,137.269655
久々野町久須母,36.057276,137.294946
久々野町大西,36.092978,137.288704
久々野町小坊,36.026398,137.307092
久々野町小屋名,36.096656,137.30797
久々野町山梨,36.080358,137.273362
久々野町引下,36.03097,137.281343
久々野町有道,36.040686,137.337406
久々野町木賊洞,36.019582,137.282391
久々野町柳島,36.070056,137.303722
久々野町渚,36.006868,137.261074
久々野町無数河,36.044241,137.251223
久々野町辻,36.102942,137.313846
久々野町長淀,36.011428,137.285094
久々野町阿多粕,36.003369,137.325134
久保見町,35.409596,136.744743
久屋町,35.43306,136.768014
久徳町,35.361828,136.589758
久瀬川町,35.35741957,136.6021051
久田見,35.519462,137.184854
久野川,35.732958,137.245472
乗政,35.798949,137.30311
乙原,35.542827,136.528337
乙狩,35.60679,136.860845
九品町,35.3160025,136.8061515
九重町,35.41345975,136.7767563
乾町,35.325553,136.80212
二番町,35.418071,136.76145
二葉町,35.3571135,136.6291171
二見町,35.371136,136.762864
二野,35.409602,137.085824
五加,35.622994,137.28994
五反田町,35.415922,136.745937
五坪,35.40872,136.7726995
五日市,35.315354,136.542048
井尻,35.431366,137.153978
交人,35.468847,136.741211
京ケ脇,35.278114,136.54766
京町,35.35819489,137.0037977
今,35.381444,137.049924
今伊勢町宮後,35.31749,136.78527
今伊勢町新神戸,35.314447,136.789573
今伊勢町本神戸,35.317335,136.796539
今伊勢町馬寄,35.326821,136.788815
今宿,35.3666075,136.6361532
今小町,35.424881,136.762052
今岡町,35.3580135,136.619584
今嶺,35.399621,136.715496
今川,35.466161,136.726185
今川町,35.422974,136.756846
今沢町,35.423346,136.760978
今渡,35.430717,137.036481
今町,35.4065525,136.7170288
今福町,35.310087,136.630038
仏生寺,35.445788,136.686546
付知町,35.664541,137.439574
代官町,35.361362,136.62283
仲町,35.486149,136.928798
伊佐美,35.532438,136.781913
伊勢町,35.486169,136.921778
伊吹,35.375218,136.492017
伊吹町,35.4279225,136.761315
伊奈波山北洞,35.428238,136.770409
伊奈波山東洞,35.425761,136.771651
伊奈波山西洞,35.426784,136.769069
伊奈波通,35.42899667,136.7659963
伊岐津志,35.463249,137.126773
伊深町,35.513452,137.010952
伏屋,35.38291367,136.7902056
伏見,35.441895,137.090308
伝法寺,35.26413767,136.8427513
伝馬町,35.363548,136.622374
住ノ江町,35.4104275,136.7612175
住吉,35.2986875,136.7864065
住吉町,35.36438153,136.9208744
住田町,35.411563,136.7580075
佐久間町,35.426952,136.757888
佐千原,35.326401,136.810895
佐原,35.561853,136.642797
