地区名,平均坪単価
神田町,1950000
加納栄町通,1800000
栄,1330000
住ノ江町,915000
福住町,830000
今沢町,770000
玉森町,735000
八幡,734000
加納清水町,730000
神山,722857.1429
加納天神町,703333.3333
玉宮町,700000
本町,678000
加納西広江町,675000
長住町,660000
玉姓町,655000
松降,640000
加納本町,636000
新生,628333.3333
平和,620000
野口,612000
住吉,591538.4615
公園通,586666.6667
加納村松町,570000
大江,566666.6667
加納中広江町,560000
加納新本町,556666.6667
花園町,550000
朝日,543333.3333
加納大黒町,530000
加納神明町,530000
羽根町,530000
北八ツ寺町,510000
新栄町,510000
花池,505454.5455
末広,500000
本町通,500000
加納上本町,500000
元町,490000
昭和,478000
天王,477500
南印田,470000
真清田,465000
音羽,465000
加納鉄砲町,465000
下田,460000
松島町,460000
桜,460000
加納青藤町,460000
泉,454444.4444
吉津町,453333.3333
杉山,450000
常盤町,450000
溝旗町,450000
蕪城町,450000
霞町,450000
北園通,445000
羽衣,440000
今小町,440000
加納水野町,440000
宮地,438000
大志,427500
美園町,425000
日ノ出町,420000
貴船町,410000
市橋,402380.9524
苅安賀,397500
下川田町,390000
向山町,387500
石山町,385000
八町通,383333.3333
室津町,380000
梶川町,380000
鶴田町,380000
貴船,377500
富士,376875
中町,375000
弁天町,375000
一色町,370000
若竹,370000
上竹町,370000
香蘭,370000
観音寺,366666.6667
殿町,365000
大宮,361666.6667
緑,361500
古金町,360000
加納永井町,360000
加納西丸町,360000
加納黒木町,360000
竜田町,360000
金竜町,360000
加納東丸町,357500
和光,355000
大宮町,355000
東印田町,351666.6667
水落町,350000
久屋町,350000
加納御車町,350000
加納新町,350000
大正町,350000
殿町,350000
森本,347857.1429
千手堂中町,345000
神明町,345000
文京,340000
東金宝町,340000
柳ケ瀬通,340000
美殿町,340000
長良仙田町,340000
鷹見町,340000
城崎通,335000
徹明通,335000
華陽,335000
加納丸之内,330000
加納坂井町,330000
加納本石町,330000
長良杉乃町,330000
加納奥平町,323333.3333
常願通,320000
加納朝日町,320000
梅河町,320000
長良校文町,320000
柳戸町,316666.6667
加納竜興町,315000
沖ノ橋町,315000
鍵屋東町,313333.3333
小栗町,310000
島崎,310000
梅林南町,310000
金町,310000
金華町,310000
吾妻町,307500
長島町,306666.6667
坂井町,306666.6667
鍵屋西町,305000
香取町,305000
伝法寺,304444.4444
大和町馬引,303333.3333
藤塚町,300000
今町,300000
加納二之丸,300000
城前町,300000
都通,300000
加納長刀堀,298750
清本町,297500
高野町,296000
城東通,295000
本郷町,295000
九重町,293333.3333
多加木,292000
今伊勢町宮後,290909.0909
平島,290000
上大久和町,290000
加納堀田町,290000
加納鷹匠町,290000
北野町,290000
早田大通,290000
菊水町,290000
長良南陽町,290000
長良東,290000
あずら,287777.7778
せんい,286666.6667
五坪,285000
別明町,280000
大浜,280000
牛野通,280000
万年町,280000
下茶屋町,280000
東材木町,280000
生田町,280000
真砂町,280000
神室町,280000
高尾町,280000
高森町,280000
薮田東,276666.6667
木曽川町内割田,276363.6364
猿海道,276250
大黒町,275000
松鴻町,275000
福光南町,275000
梅ケ枝町,272500
西荘,271764.7059
九品町,270000
一松道,270000
吹上町,270000
四屋町,270000
西野町,270000
千手堂南町,266666.6667
加納南陽町,266000
敷島町,266000
昭和町,265000
鶴舞町,265000
鹿島町,263333.3333
六条東,262500
三ツ井,261384.6154
大和町毛受,261285.7143
今伊勢町本神戸,260166.6667
寿町,260000
平河町,260000
早苗町,260000
木挽町,260000
浪花町,260000
葭町,260000
今伊勢町馬寄,258727.2727
赤見,258571.4286
西島町,258333.3333
鏡島南,258000
瑞雲町,257500
長良東郷町,257166.6667
大和町妙興寺,255222.2222
中道北,255000
織田町,255000
大和町宮地花池,252500
宇佐,252235.2941
上太田町,250000
本荘西,250000
東興町,250000
此花町,250000
泉町,250000
金園町,250000
雲井町,250000
雲雀ケ丘,250000
篭屋,248333.3333
今嶺,247000
安宅町,245333.3333
福田町,245000
羽衣町,245000
六条南,243333.3333
北丹町,240000
万代町,240000
三橋町,240000
中新町,240000
光樹町,240000
南殿町,240000
平和通,240000
本町,240000
高砂町,240000
菊地町,238333.3333
大和町戸塚,237777.7778
問屋町,235000
宇佐南,235000
長良東町,235000
益屋町,233333.3333
花沢町,233333.3333
六条北,232857.1429
東栄町,231666.6667
下土居,231428.5714
一宮,230000
両郷町,230000
宇佐東町,230000
松原町,230000
桜通,230000
清,230000
西後町,230000
道三町,230000
金屋町,230000
金岡町,230000
長良福江町,230000
如月町,225000
福光西,225000
馬見塚,224500
茜部神清寺,223750
京町,223333.3333
月丘町,222500
桜木町,222000
則武中,220823.5294
東出町,220000
加納城南通,220000
南蝉,220000
島田東町,220000
御杉町,220000
笹土居町,220000
島田西町,218750
木曽川町黒田,218413.3333
新興町,216000
栄新町,216000
春日町,215750
岩倉町,215000
千秋町塩尻,213333.3333
大和町於保,213333.3333
福光東,212600
薮田中,212500
佐久間町,212000
室町,211500
大和町南高井,210000
中洲町,210000
早田栄町,210000
柳津町本郷,210000
池田町,210000
長良小松町,210000
長良桜井町,210000
千秋町芝原,209333.3333
則武東,208333.3333
大柳町,208250
三条,208189.1892
北方町曽根,206666.6667
美島町,206000
柳津町宮東,205714.2857
今伊勢町新神戸,203166.6667
六条福寿町,202500
早田東町,200769.2308
安良田町,200000
権現町,200000
正法寺町,200000
神楽町,200000
雲雀町,200000
鷺山北町,200000
下川手,199090.9091
鏡島精華,198750
北神明町,198000
朝日町,197500
長良葵町,195500
茜部寺屋敷,195142.8571
六条片田,195000
戎町,195000
久保見町,194666.6667
茜部本郷,193333.3333
津島町,192857.1429
