駅名,利用者数
JA広島病院前,1474
JR三山木,2138
JR五位堂,1514
JR俊徳道,10402
JR小倉,3700
JR河内永和,17258
JR淡路,12974
JR総持寺,15086
JR藤森,6332
JR野江,8434
JR長瀬,6564
JR難波,47888
Jヴィレッジ,0
YRP野比,18536
あいの里公園,0
あいの里教育大,7606
あおば通,45302
あかおか,199
あかぢ,49
あきた白神,76
あき亀山,1284
あき総合病院前,0
あさぎり,762
あざみ野,136108
あしかがフラワーパーク,0
あすなろう四日市,6198
あつみ温泉,202
あぶくま,5
あまや,12
あやめ公園,90
あわくら温泉,7
あわら湯のまち,451
いこいの広場,141
いこいの村,0
いずえ,56
いずみ中央,16257
いずみ野,13752
いづろ通,3324
いのつき,19
いよ立花,2246
いりなか,14204
いわき,11744
いわて沼宮内,850
うきは,0
うらがわら,168
えちご押上ひすい海岸,0
えびの,0
えびの上江,0
えびの飯野,0
おかどめ幸福,155
おごと温泉,12626
おもちゃのまち,2621
おもろまち,11586
おゆみ野,5221
おりはた,33
お台場海浜公園,16899
お花茶屋,34319
かしわ台,18665
かぶと山,67
かみのやま温泉,3042
かるが浜,414
くいな橋,6035
くぬぎ山,7297
くびき,157
くりこま高原,2096
けやき台,2568
こどもの国,11458
さいたま新都心,111102
さがみ野,37399
さぎの宮,2276
さくらんぼ東根,2726
さくら夙川,16746
ささしまライブ,7000
さっぽろ,174240
さつき野,1938
ししぶ,3232
しんざ,163
すえたちばな,8
すすきの,34138
すずかけ台,11623
すずらんの里,0
せきてらす前,79
せんげん台,57414
たのうら御立岬公園,131
たびら平戸口,218
たまプラーザ,83136
だいどう豊里,9771
ちはら台,5948
つきのわ,5352
つきみ野,10537
つくし野,11544
つくば,36100
つつじヶ丘,45169
てだこ浦西,2605
とうきょうスカイツリー,0
ときわ台,47894
なにわ橋,2330
のいち,1389
のの岳,0
はなみずき通,2884
はりまや橋,4532
はりま勝原,11014
はるひ野,10048
ひがし野団地,0
ひぐち,57
ひこね芹川,120
ひたち野うしく,13946
